0,1,2,3,4,5,6,7,8,9,10,11,12,13,14
2022-12-08,-9135102.0,-2279976.0,11415079.0,-12888348.0,3753246.0,-4.25,-1.06,5.31,-6.00,1.75,8.11,0.75,0.00,0.00
2022-12-09,-14624477.0,11863438.0,2761038.0,-12972150.0,-1652327.0,-3.15,2.55,0.59,-2.79,-0.36,8.24,1.60,0.00,0.00
2022-12-12,-33878159.0,22048706.0,11829452.0,-33839467.0,-38692.0,-8.07,5.26,2.82,-8.07,-0.01,7.87,-4.49,0.00,0.00
2022-12-13,4799913.0,-14987491.0,10187579.0,7399908.0,-2599995.0,2.30,-7.18,4.88,3.55,-1.25,7.96,1.14,0.00,0.00
2022-12-14,-39778401.0,9194762.0,30583640.0,-9903561.0,-29874840.0,-16.79,3.88,12.91,-4.18,-12.61,8.02,0.75,0.00,0.00
2022-12-15,-9010559.0,13705322.0,-4694763.0,-5437126.0,-3573433.0,-4.47,6.81,-2.33,-2.70,-1.77,7.83,-2.37,0.00,0.00
2022-12-16,-8125312.0,12583850.0,-4458539.0,-1699506.0,-6425806.0,-6.20,9.60,-3.40,-1.30,-4.90,7.80,-0.38,0.00,0.00
2022-12-19,-10601919.0,649759.0,9952161.0,-3152553.0,-7449366.0,-6.50,0.40,6.11,-1.93,-4.57,7.73,-0.90,0.00,0.00
2022-12-20,4597987.0,8192170.0,-12790156.0,2025402.0,2572585.0,4.15,7.40,-11.55,1.83,2.32,7.68,-0.65,0.00,0.00
2022-12-21,13377652.0,-18116890.0,4739237.0,-1615965.0,14993617.0,7.83,-10.60,2.77,-0.95,8.77,7.77,1.17,0.00,0.00
2022-12-22,-3049940.0,-6460794.0,9510734.0,12760608.0,-15810548.0,-2.17,-4.60,6.78,9.09,-11.27,7.64,-1.67,0.00,0.00
2022-12-23,-20843354.0,9922655.0,10920700.0,-9478486.0,-11364868.0,-16.91,8.05,8.86,-7.69,-9.22,7.59,-0.65,0.00,0.00
2022-12-26,-6484372.0,7067163.0,-582791.0,-4894019.0,-1590353.0,-7.44,8.11,-0.67,-5.62,-1.82,7.61,0.26,0.00,0.00
2022-12-27,17072152.0,-9293693.0,-7778461.0,4806967.0,12265185.0,15.17,-8.26,-6.91,4.27,10.90,7.73,1.58,0.00,0.00
2022-12-28,6237200.0,-6879674.0,642475.0,6677559.0,-440359.0,2.79,-3.08,0.29,2.99,-0.20,7.85,1.55,0.00,0.00
2022-12-29,-12390504.0,-11227093.0,23617598.0,3636357.0,-16026861.0,-3.85,-3.49,7.33,1.13,-4.98,8.05,2.55,0.00,0.00
2022-12-30,-6878537.0,12036595.0,-5158059.0,-5798687.0,-1079850.0,-1.97,3.45,-1.48,-1.66,-0.31,8.19,1.74,0.00,0.00
2023-01-03,20440442.0,9697544.0,-30137985.0,28436613.0,-7996171.0,4.99,2.37,-7.36,6.94,-1.95,8.41,2.69,0.00,0.00
2023-01-04,-67048357.0,68735405.0,-1687047.0,-3749687.0,-63298670.0,-19.60,20.09,-0.49,-1.10,-18.50,8.34,-0.83,0.00,0.00
2023-01-05,-18072142.0,31232572.0,-13160431.0,4708843.0,-22780985.0,-5.60,9.68,-4.08,1.46,-7.06,8.24,-1.20,0.00,0.00
2023-01-06,10247181.0,-292547.0,-9954634.0,1804108.0,8443073.0,4.54,-0.13,-4.41,0.80,3.74,8.22,-0.24,0.00,0.00
2023-01-09,26813131.0,1660651.0,-28473782.0,6922270.0,19890861.0,5.90,0.37,-6.27,1.52,4.38,8.41,2.31,0.00,0.00
2023-01-10,-23053006.0,10169695.0,12883310.0,-14267388.0,-8785618.0,-4.40,1.94,2.46,-2.73,-1.68,8.64,2.73,0.00,0.00
2023-01-11,-23716631.0,23405475.0,311157.0,15128215.0,-38844846.0,-7.02,6.93,0.09,4.48,-11.49,8.55,-1.04,0.00,0.00
2023-01-12,18013301.0,-1433556.0,-16579743.0,12319423.0,5693878.0,10.84,-0.86,-9.98,7.41,3.43,8.49,-0.70,0.00,0.00
2023-01-13,-7937176.0,-3058272.0,10995448.0,-1675744.0,-6261432.0,-3.97,-1.53,5.50,-0.84,-3.13,8.58,1.06,0.00,0.00
2023-01-16,-17061845.0,17485223.0,-423377.0,-18094922.0,1033077.0,-4.71,4.82,-0.12,-4.99,0.28,8.57,-0.12,0.00,0.00
2023-01-17,-25383848.0,33364475.0,-7980627.0,-2829065.0,-22554783.0,-11.75,15.45,-3.69,-1.31,-10.44,8.49,-0.93,0.00,0.00
2023-01-18,5163716.0,9629679.0,-14793395.0,3655559.0,1508157.0,2.88,5.37,-8.24,2.04,0.84,8.51,0.24,0.00,0.00
2023-01-19,7195351.0,10729730.0,-17925080.0,-3755148.0,10950499.0,3.34,4.98,-8.31,-1.74,5.08,8.47,-0.47,0.00,0.00
2023-01-20,34887254.0,-13688773.0,-21198481.0,25748195.0,9139059.0,10.36,-4.07,-6.30,7.65,2.71,8.70,2.72,0.00,0.00
2023-01-30,13599820.0,-11594571.0,-2005249.0,10729228.0,2870592.0,3.81,-3.24,-0.56,3.00,0.80,8.66,-0.46,0.00,0.00
2023-01-31,-26300169.0,17568677.0,8731491.0,-12523061.0,-13777108.0,-8.95,5.98,2.97,-4.26,-4.69,8.64,-0.23,0.00,0.00
2023-02-01,11225160.0,-25965324.0,14740163.0,-3128915.0,14354075.0,1.98,-4.57,2.59,-0.55,2.53,8.86,2.55,0.00,0.00
2023-02-02,-63434423.0,-7063145.0,70497567.0,-24369471.0,-39064952.0,-11.67,-1.30,12.97,-4.48,-7.19,8.97,1.24,0.00,0.00
2023-02-03,-38008016.0,-5573863.0,43581879.0,-35559309.0,-2448707.0,-9.93,-1.46,11.39,-9.29,-0.64,8.80,-1.90,0.00,0.00
2023-02-06,-33747093.0,5977498.0,27769596.0,11339566.0,-45086659.0,-8.09,1.43,6.66,2.72,-10.81,8.57,-2.61,0.00,0.00
2023-02-07,-8991596.0,4989422.0,4002174.0,-8068912.0,-922684.0,-4.15,2.31,1.85,-3.73,-0.43,8.62,0.58,0.00,0.00
2023-02-08,-30207450.0,14379713.0,15827738.0,-161779.0,-30045671.0,-13.00,6.19,6.81,-0.07,-12.93,8.49,-1.51,0.00,0.00
2023-02-09,-4454870.0,-569079.0,5023948.0,-3543957.0,-910913.0,-2.64,-0.34,2.98,-2.10,-0.54,8.54,0.59,0.00,0.00
2023-02-10,-31121766.0,10153171.0,20968593.0,-17243820.0,-13877946.0,-11.14,3.63,7.51,-6.17,-4.97,8.39,-1.76,0.00,0.00
2023-02-13,-1760927.0,-20314794.0,22075720.0,-3072239.0,1311312.0,-0.81,-9.38,10.19,-1.42,0.61,8.46,0.83,0.00,0.00
2023-02-14,-34127898.0,-17841949.0,51969847.0,-40848707.0,6720809.0,-11.65,-6.09,17.73,-13.94,2.29,8.57,1.30,0.00,0.00
2023-02-15,-3808973.0,-22627649.0,26436620.0,8350413.0,-12159386.0,-1.61,-9.59,11.21,3.54,-5.15,8.49,-0.93,0.00,0.00
2023-02-16,-27237978.0,20805020.0,6432958.0,-18295716.0,-8942262.0,-12.35,9.43,2.92,-8.29,-4.05,8.33,-1.88,0.00,0.00
2023-02-17,20339243.0,-8543544.0,-11795699.0,9733740.0,10605503.0,9.07,-3.81,-5.26,4.34,4.73,8.40,0.84,0.00,0.00
2023-02-20,-17554725.0,-25578193.0,43132918.0,-8737504.0,-8817221.0,-5.52,-8.04,13.56,-2.75,-2.77,8.58,2.14,0.00,0.00
2023-02-21,-47102119.0,3189658.0,43912460.0,-18915338.0,-28186781.0,-13.50,0.91,12.59,-5.42,-8.08,8.71,1.52,0.00,0.00
2023-02-22,-56068236.0,9953493.0,46114744.0,65369001.0,-121437237.0,-8.00,1.42,6.58,9.33,-17.33,8.83,1.38,0.00,0.00
2023-02-23,-15552261.0,6363510.0,9188753.0,-2812605.0,-12739656.0,-6.04,2.47,3.57,-1.09,-4.95,8.77,-0.68,0.00,0.00
